F, [2016-08-17T13:07:18.500857 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:113:in `main_loop'
F, [2016-08-17T13:07:18.500883 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler.rb:416:in `block (3 levels) in start_threads'
F, [2016-08-17T13:07:18.500902 #30446] FATAL -- : [efa9b92c-b949-4634-b8ec-5ae03316d052] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/utils.rb:113:in `block in create_thread_and_abort_on_exception'
I, [2016-08-17T13:38:18.844121 #2627]  INFO -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] Started GET "/blogs?group=2" for 66.249.69.53 at 2016-08-17 13:38:18 +0800
F, [2016-08-17T13:38:18.845299 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3]   
F, [2016-08-17T13:38:18.845365 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] ActionController::RoutingError (No route matches [GET] "/blogs"):
F, [2016-08-17T13:38:18.845400 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3]   
F, [2016-08-17T13:38:18.845423 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-08-17T13:38:18.845457 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-08-17T13:38:18.845488 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-08-17T13:38:18.845521 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-08-17T13:38:18.845557 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-08-17T13:38:18.845580 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-08-17T13:38:18.845598 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-08-17T13:38:18.845616 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-08-17T13:38:18.845648 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-08-17T13:38:18.845685 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-08-17T13:38:18.845710 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-08-17T13:38:18.845728 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-08-17T13:38:18.845746 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-08-17T13:38:18.845763 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-08-17T13:38:18.845811 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-08-17T13:38:18.845831 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/rack/thread_handler_extension.rb:97:in `process_request'
F, [2016-08-17T13:38:18.845849 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:152:in `accept_and_process_next_request'
F, [2016-08-17T13:38:18.845866 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:113:in `main_loop'
F, [2016-08-17T13:38:18.845883 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler.rb:416:in `block (3 levels) in start_threads'
F, [2016-08-17T13:38:18.845916 #2627] FATAL -- : [19a91784-84bc-49df-902f-2f6b14a9b0a3] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/utils.rb:113:in `block in create_thread_and_abort_on_exception'
I, [2016-08-17T13:40:06.554874 #2627]  INFO -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] Started GET "/" for 59.172.38.22 at 2016-08-17 13:40:06 +0800
F, [2016-08-17T13:40:06.555626 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0]   
F, [2016-08-17T13:40:06.555680 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] ActionController::RoutingError (No route matches [GET] "/"):
F, [2016-08-17T13:40:06.555720 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0]   
F, [2016-08-17T13:40:06.555760 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-08-17T13:40:06.555782 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-08-17T13:40:06.555800 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-08-17T13:40:06.555819 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-08-17T13:40:06.555856 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-08-17T13:40:06.555883 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-08-17T13:40:06.555902 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-08-17T13:40:06.555920 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-08-17T13:40:06.555948 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-08-17T13:40:06.555970 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-08-17T13:40:06.556010 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-08-17T13:40:06.556075 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-08-17T13:40:06.556103 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-08-17T13:40:06.556136 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-08-17T13:40:06.556162 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-08-17T13:40:06.556187 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/rack/thread_handler_extension.rb:97:in `process_request'
F, [2016-08-17T13:40:06.556221 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:152:in `accept_and_process_next_request'
F, [2016-08-17T13:40:06.556246 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler/thread_handler.rb:113:in `main_loop'
F, [2016-08-17T13:40:06.556272 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/request_handler.rb:416:in `block (3 levels) in start_threads'
F, [2016-08-17T13:40:06.556304 #2627] FATAL -- : [0f61e016-aad6-44b5-9b4c-53c540f710e0] passenger (5.0.30) src/ruby_supportlib/phusion_passenger/utils.rb:113:in `block in create_thread_and_abort_on_exception'
